"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Vitamin_A_RE_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV","Category","Item","Serving Size","Id","cluster"
300.0,13.0,750.0,31.0,3.0,17.0,100.0,0.0,4.25,275.0,2.7,"Breakfast","Egg McMuffin","4.8 oz (136 g)",1.0,"cluster_1"
250.0,8.0,770.0,30.0,3.0,18.0,60.0,0.0,4.25,275.0,1.44,"Breakfast","Egg White Delight","4.8 oz (135 g)",2.0,"cluster_1"
370.0,23.0,780.0,29.0,2.0,14.0,80.0,0.0,4.25,275.0,1.8,"Breakfast","Sausage McMuffin","3.9 oz (111 g)",3.0,"cluster_1"
450.0,28.0,860.0,30.0,2.0,21.0,150.0,0.0,4.25,330.0,2.7,"Breakfast","Sausage McMuffin with Egg","5.7 oz (161 g)",4.0,"cluster_1"
400.0,23.0,880.0,30.0,2.0,21.0,60.0,0.0,4.25,275.0,1.8,"Breakfast","Sausage McMuffin with Egg Whites","5.7 oz (161 g)",5.0,"cluster_1"
430.0,23.0,960.0,31.0,3.0,26.0,150.0,1.2,4.5,330.0,3.6,"Breakfast","Steak & Egg McMuffin","6.5 oz (185 g)",6.0,"cluster_1"
460.0,26.0,1300.0,38.0,3.0,19.0,100.0,4.8,1.75,165.0,2.7,"Breakfast","Bacon, Egg & Cheese Biscuit (Regular Biscuit)","5.3 oz (150 g)",7.0,"cluster_1"
520.0,30.0,1410.0,43.0,4.0,19.0,150.0,4.8,3.0,220.0,3.6,"Breakfast","Bacon, Egg & Cheese Biscuit (Large Biscuit)","5.8 oz (164 g)",8.0,"cluster_1"
410.0,20.0,1300.0,36.0,3.0,20.0,20.0,4.8,1.75,165.0,1.8,"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","5.4 oz (153 g)",9.0,"cluster_1"
470.0,25.0,1420.0,42.0,4.0,20.0,60.0,4.8,3.0,165.0,2.7,"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","5.9 oz (167 g)",10.0,"cluster_1"
430.0,27.0,1080.0,34.0,2.0,11.0,0.0,0.0,1.5,66.0,2.7,"Breakfast","Sausage Biscuit (Regular Biscuit)","4.1 oz (117 g)",11.0,"cluster_1"
480.0,31.0,1190.0,39.0,3.0,11.0,40.0,0.0,2.75,88.0,2.7,"Breakfast","Sausage Biscuit (Large Biscuit)","4.6 oz (131 g)",12.0,"cluster_1"
510.0,33.0,1170.0,36.0,2.0,18.0,60.0,0.0,1.5,110.0,3.6,"Breakfast","Sausage Biscuit with Egg (Regular Biscuit)","5.7 oz (163 g)",13.0,"cluster_1"
570.0,37.0,1280.0,42.0,3.0,18.0,100.0,0.0,2.75,110.0,3.6,"Breakfast","Sausage Biscuit with Egg (Large Biscuit)","6.2 oz (177 g)",14.0,"cluster_1"
460.0,27.0,1180.0,34.0,3.0,18.0,0.0,0.0,1.5,88.0,2.7,"Breakfast","Sausage Biscuit with Egg Whites (Regular Biscuit)","5.9 oz (167 g)",15.0,"cluster_1"
520.0,32.0,1290.0,40.0,3.0,18.0,40.0,0.0,2.75,88.0,2.7,"Breakfast","Sausage Biscuit with Egg Whites (Large Biscuit)","6.4 oz (181 g)",16.0,"cluster_1"
410.0,20.0,1180.0,41.0,3.0,17.0,0.0,1.2,1.5,66.0,2.7,"Breakfast","Southern Style Chicken Biscuit (Regular Biscuit)","5 oz (143 g)",17.0,"cluster_1"
470.0,24.0,1290.0,46.0,4.0,17.0,40.0,1.2,2.75,88.0,2.7,"Breakfast","Southern Style Chicken Biscuit (Large Biscuit)","5.5 oz (157 g)",18.0,"cluster_1"
540.0,32.0,1470.0,38.0,3.0,25.0,100.0,1.2,2.0,220.0,4.5,"Breakfast","Steak & Egg Biscuit (Regular Biscuit)","7.1 oz (201 g)",19.0,"cluster_1"
460.0,21.0,1250.0,48.0,15.0,19.0,100.0,6.0,2.25,220.0,2.7,"Breakfast","Bacon, Egg & Cheese McGriddles","6.1 oz (174 g)",20.0,"cluster_1"
400.0,15.0,1250.0,47.0,16.0,20.0,20.0,6.0,2.25,165.0,1.8,"Breakfast","Bacon, Egg & Cheese McGriddles with Egg Whites","6.3 oz (178 g)",21.0,"cluster_1"
420.0,22.0,1030.0,44.0,15.0,11.0,0.0,0.0,2.0,88.0,1.8,"Breakfast","Sausage McGriddles","5 oz (141 g)",22.0,"cluster_1"
550.0,31.0,1320.0,48.0,15.0,20.0,100.0,0.0,2.25,220.0,2.7,"Breakfast","Sausage, Egg & Cheese McGriddles","7.1 oz (201 g)",23.0,"cluster_1"
500.0,26.0,1320.0,46.0,15.0,21.0,20.0,0.0,2.25,220.0,1.8,"Breakfast","Sausage, Egg & Cheese McGriddles with Egg Whites","7.2 oz (205 g)",24.0,"cluster_1"
620.0,31.0,1480.0,57.0,7.0,30.0,200.0,9.0,2.75,220.0,3.6,"Breakfast","Bacon, Egg & Cheese Bagel","6.9 oz (197 g)",25.0,"cluster_1"
570.0,25.0,1480.0,55.0,8.0,30.0,100.0,9.0,3.0,220.0,2.7,"Breakfast","Bacon, Egg & Cheese Bagel with Egg Whites","7.1 oz (201 g)",26.0,"cluster_1"
670.0,35.0,1510.0,56.0,7.0,33.0,200.0,2.4,3.0,275.0,4.5,"Breakfast","Steak, Egg & Cheese Bagel","8.5 oz (241 g)",27.0,"cluster_1"
740.0,48.0,1560.0,51.0,3.0,28.0,150.0,1.2,3.0,165.0,4.5,"Breakfast","Big Breakfast (Regular Biscuit)","9.5 oz (269 g)",28.0,"cluster_1"
800.0,52.0,1680.0,56.0,3.0,28.0,150.0,1.2,4.25,165.0,5.4,"Breakfast","Big Breakfast (Large Biscuit)","10 oz (283 g)",29.0,"cluster_1"
640.0,37.0,1590.0,50.0,3.0,26.0,0.0,1.2,3.0,110.0,2.7,"Breakfast","Big Breakfast with Egg Whites (Regular Biscuit)","9.6 oz (272 g)",30.0,"cluster_1"
690.0,41.0,1700.0,55.0,4.0,26.0,40.0,1.2,4.25,110.0,2.7,"Breakfast","Big Breakfast with Egg Whites (Large Biscuit)","10.1 oz (286 g)",31.0,"cluster_1"
1090.0,56.0,2150.0,111.0,17.0,36.0,150.0,1.2,5.75,275.0,7.2,"Breakfast","Big Breakfast with Hotcakes (Regular Biscuit)","14.8 oz (420 g)",32.0,"cluster_1"
1150.0,60.0,2260.0,116.0,17.0,36.0,150.0,1.2,7.0,330.0,7.2,"Breakfast","Big Breakfast with Hotcakes (Large Biscuit)","15.3 oz (434 g)",33.0,"cluster_1"
990.0,46.0,2170.0,110.0,17.0,35.0,0.0,1.2,5.75,275.0,5.4,"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)","14.9 oz (423 g)",34.0,"cluster_1"
1050.0,50.0,2290.0,115.0,18.0,35.0,40.0,1.2,7.0,275.0,5.4,"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)","15.4 oz (437 g)",35.0,"cluster_1"
350.0,9.0,590.0,60.0,14.0,8.0,0.0,0.0,2.5,165.0,2.7,"Breakfast","Hotcakes","5.3 oz (151 g)",36.0,"cluster_2"
520.0,24.0,930.0,61.0,14.0,15.0,0.0,0.0,2.5,165.0,2.7,"Breakfast","Hotcakes and Sausage","6.8 oz (192 g)",37.0,"cluster_1"
300.0,16.0,790.0,26.0,2.0,12.0,100.0,1.2,1.25,165.0,2.7,"Breakfast","Sausage Burrito","3.9 oz (111 g)",38.0,"cluster_1"
150.0,9.0,310.0,15.0,0.0,1.0,0.0,1.2,1.5,0.0,0.36,"Breakfast","Hash Brown","2 oz (56 g)",39.0,"cluster_2"
460.0,19.0,370.0,66.0,32.0,6.0,40.0,0.0,2.75,66.0,2.7,"Breakfast","Cinnamon Melts","4 oz (114 g)",40.0,"cluster_1"
290.0,4.0,160.0,58.0,32.0,5.0,20.0,78.0,4.75,110.0,1.8,"Breakfast","Fruit & Maple Oatmeal","9.6 oz (251 g)",41.0,"cluster_2"
260.0,4.0,115.0,49.0,18.0,5.0,20.0,78.0,5.5,66.0,1.8,"Breakfast","Fruit & Maple Oatmeal without Brown Sugar","9.6 oz (251 g)",42.0,"cluster_2"
530.0,27.0,960.0,47.0,9.0,24.0,60.0,1.2,3.25,275.0,4.5,"Beef & Pork","Big Mac","7.4 oz (211 g)",43.0,"cluster_1"
520.0,26.0,1100.0,41.0,10.0,30.0,100.0,1.2,2.75,330.0,4.5,"Beef & Pork","Quarter Pounder with Cheese","7.1 oz (202 g)",44.0,"cluster_1"
600.0,29.0,1440.0,48.0,12.0,37.0,60.0,9.0,3.0,275.0,5.4,"Beef & Pork","Quarter Pounder with Bacon & Cheese","8 oz (227 g)",45.0,"cluster_1"
610.0,31.0,1180.0,46.0,10.0,37.0,80.0,12.0,3.5,275.0,5.4,"Beef & Pork","Quarter Pounder with Bacon Habanero Ranch","8.3 oz (235 g)",46.0,"cluster_1"
540.0,27.0,960.0,45.0,9.0,29.0,100.0,4.8,3.25,275.0,5.4,"Beef & Pork","Quarter Pounder Deluxe","8.6 oz (244 g)",47.0,"cluster_1"
750.0,43.0,1280.0,42.0,10.0,48.0,100.0,1.2,2.75,330.0,6.3,"Beef & Pork","Double Quarter Pounder with Cheese","10 oz (283 g)",48.0,"cluster_1"
